rep.num,original.study.number,original.effect.size,replication.effect.size,replication.study.number,outcome,target.effect,rep.effort.type,IVs,DVs,replication.type,replication.method.differences,replication.positive.control.evidence,other.outcomes,discipline,rep.num.in.set,original.study.article.URL,replication.study.article.URL,replication.open.data.URL,replication.open.materials.URL,replication.pre.reg.URL,original.open.data.URL,original.open.materials.URL,original.pre.reg.URL,effect.description,design,statistical.effect.type,original.test.statistic,original.pvalue,original.N,replication.N,outcome.bayesian,study.order.CS,RPP.study.number,original.article.title
35,"Farris, Treat et al. (2008) Study 1",η²(N=280) = .326,η²(N=144) = .008,"Attwood, Easey, & Munafo (2015)",unsuccessful,sex difference in perceived sexual interest effect,Replicability Project,,,very close,,,,social,35,https://pdfs.semanticscholar.org/7506/0955a43d0c40d1e10ffee2f66b23c4f912fe.pdf?_ga=2.160367867.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/7dyp5/,https://osf.io/7dyp5/,https://osf.io/5u4km/,,,,Male Ps exhibited less sensitivity in distinguishing friendliness versus sexual interest compared to women (supporting a male perceptual insensitivity account). ,general linear model,interaction,"F(1, 278) = 123.38",<.001,280,144,,35,110,Perceptual mechanisms that characterize gender differences in decoding women's sexual intent
36,"Armor, Massey et al. (2008) Study 1",d(N=125) = +.93,d(N=177) = +1.18,"Lassetter, Brandt et al. (2015)",successful,prescribed optimism effect,Replicability Project,,,very close,,,,social,36,https://pdfs.semanticscholar.org/ebcb/12ed8b27bfe3588e8f9b994f4acc914f050e.pdf?_ga=2.160367867.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/qlzap/,https://osf.io/qlzap/,https://osf.io/8u5v2/,,,,"Among accurate, optimistic, or pessimistic predictions, Ps most likely to recommend optimistic predictions. ",single sample t-test,main effect,t(124) =10.36,prep > .99,125,177,,36,113,Prescribed optimism: Is it right to be wrong about the future?
37,"Addis, Wong et al. (2008) Study 1",η²(N=32)= .326,η²(N=32) = .426,Vasquez (2015),successful,age-related episodic memory effect,Replicability Project,,,very close,,,,social,37,http://scholar.harvard.edu/files/schacterlab/files/addiswongschacter2008.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/yaeu7/,https://osf.io/yaeu7/,https://osf.io/9ayxi/,,,,"Older adults produced fewer internal details, but more external details compared to young adults. ",RM ANOVA,main effect,"F(1,30) = 14.49",prep = .99,32,32,,37,114,Age-related changes in the episodic simulation of future events
38,Masicampo & Baumeister (2008) Study 1,η²(N=115) = .045,η²(N=166) = .002,"Osborne, Vuu, & Henninger (2015)",unsuccessful,ego depletion boosts attraction effect,Replicability Project,,,very close,,,,social,38,https://pdfs.semanticscholar.org/2820/47d5641dcba11516a64d6f082154c0ab79a9.pdf?_ga=2.228131675.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/3h29d/,https://osf.io/3h29d/,https://osf.io/897ew/,,,,"Ps in depletion/placebo group exhibited larger attraction effect compared to Ps in other three conditions (depletion with sugar, no depletion with sugar, no depletion with placebo). ",ANOVA,focused interaction contrast,"F(1, 111) = 5.311",prep = .92,115,166,,38,118,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis."
39,Hajcak & Foti (2008) Study 1,r(N=31) = -.38,r(N=43) = -.25,Lewis & Pitts (2015),unsuccessful,aversive errors effect,Replicability Project,,,very close,,,,social,39,https://pdfs.semanticscholar.org/4909/934881166b7b8e4c35c6f059bf2cf3952dcb.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/73pnd/,https://osf.io/73pnd/,https://osf.io/82bwv/,,,,Startle response magnitude following an error negatively correlated to Error-Related Negativity (ERN) amplitude. ,zero-order correlation,correlation,r = -.38,<.05,31,43,,39,120,Errors Are Aversive: Defensive Motivation and the Error-Related Negativity
40,"Tabibnia, Satpute et al. (2008) Study 2",d(N=12) = +3.25,d(N=24) = +2.22,"Beer, Rigney, & Flagan (2015)",successful,sunny side of fairness effect,Replicability Project,,,very close,,,,social,40,https://pdfs.semanticscholar.org/2275/5d2aeb2f4f1216ffa0f829e4cf31141c79f9.pdf?_ga=2.228131675.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/94j6h/,https://osf.io/94j6h/,https://osf.io/nxp9w/,,,,Accepting unfair offers increased activation in right ventrolateral prefrontal cortex compared to baseline ,dependent samples t-test,main effect,t(11) = 5.39,prep = .99,12,24,,40,121,The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry)
41,"Lau, Kay & Spencer (2008) Study 1",η²(N=36) = .147,η²(N=70) = .001,Stieger (2015),unsuccessful,loving woman who justify inequality effect,Replicability Project,,,very close,,,,social,41,https://u.osu.edu/spencerlab/files/2017/02/j2E1467-92802E20082E020402Ex-ov88xp.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/fxqsk/,https://osf.io/fxqsk/,https://osf.io/42hgf/,,,,Male Ps whose faith in economic system was threatened reported greater romantic interest in women who embody (versus did not embody) benevolent sexist ideals ,ANOVA,interaction,"F(1, 34) = 5.89",prep = .93,36,70,,41,124,Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.
42,Richeson & Trawalter (2008) Study 1,d(N=28) = +.80,η²(N=66) = .00,Lai (2015),unsuccessful,threat of appearing prejudiced attentional bias effect,Replicability Project,,,very close,,,,social,42,https://pdfs.semanticscholar.org/8d43/78b38e48bbfaa4ea06765f14709abb5ac39b.pdf?_ga=2.198763753.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/c5fza/,https://osf.io/c5fza/,https://osf.io/phwi4/,,,,"Ps with high ""external motivation"" (EM) to be non-prejudiced exhibited attentional biases for neutral, but not happy Black faces. ",mixed ANOVA,interaction,"F(1, 26) = 4.17",prep = .92,28,66,,42,129,The threat of appearing prejudiced and race-based attentional biases.
43,"Crosby, Monin et al. (2008) Study 1",η²(N=25) = .18,η²(N=30) = .048,Skorinko & Jonas (2015),unsuccessful,offensive behavior looking effect,Replicability Project,,,very close,,,,social,43,https://pdfs.semanticscholar.org/5458/e25a697d427d5647dda42fa4989188894d2f.pdf?_ga=2.198763753.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/b98zw/,https://osf.io/b98zw/,https://osf.io/nkaw4/,,,,"When White man made potentially offensive comment in presence of Black man, Ps who could hear interaction looked at Black man for a longer compared to when Ps couldnt hear interaction. ",mixed ANOVA,interaction,"F(3, 69) = 5.15",<.005,25,30,,43,132,Where do we look during potentially offensive behavior?
44,Larsen & McKibban (2008) Study 2,pr(N=119) = +.21,pr(N=238) = +.497,"Seibel, Vermue et al. (2015)",successful,having what you want happiness effect,Replicability Project,,,very close,,,,social,44,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1027.2039&rep=rep1&type=pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/5dx4v/,https://osf.io/5dx4v/,https://osf.io/h4cbg/,,,,"People who had what they wanted were happier than others, even after controlling for the degree to which they wanted what they had. ",Partial correlation,correlation,pr = .21,prep = .92,119,238,,44,134,"Is happiness having what you want, wanting what you have, or both?"
45,Ranganath & Nosek (2008) Study 1,d(N=564) = -.004,d(N=3597) = +.21,Cohn (2015),unsuccessful,implicit attitude generalization occurs immediately effect,Replicability Project,,,very close,,,,social,45,https://pdfs.semanticscholar.org/9259/4542085ad219d5a5c611c16a8cd62c06785d.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/2gkjt/,https://osf.io/2gkjt/,https://osf.io/9xt25/,,,,Information about original individuals automatically influenced Ps' implicit responses toward new individuals from same social category. ,t-test,main effect,t(562) = -0.11,prep = .18,564,3597,,45,135,Implicit attitude generalization occurs immediately; explicit attitude generalization takes time
46,Vohs & Schooler (2008) Study 1,d(N=30) = +.88,d(N=58) = +.20,"Giner-Sorolla, Embley et al. (2015)",unsuccessful,anti-free-will boosts cheating effect,Replicability Project,,,very close,,,,social,46,https://pdfs.semanticscholar.org/a20c/fba85021eabd83780f3042636e8a3de8e58a.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/i29mh/,https://osf.io/i29mh/,https://osf.io/2nf3u/,,,,Ps who read anti-free-will essay cheated more often that Ps who read a control essay. ,independent samples t-test,main effect,t(28) = 3.04,<.01,30,58,,46,136,The value of believing in free will: Encouraging a belief in determinism increases cheating.
47,Williams & Bargh (2008) Study 4,η²(N=84) = .11,η²(N=125) = .03,"Joy-Gaba, Clay, & Cleary (2015)",unsuccessful,distance priming boosts psychological closeness effect,Replicability Project,,,very close,,,,social,47,https://pdfs.semanticscholar.org/e63b/2302efaa97ed0909dd5a42221e6b6524a28d.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/vnsqg/,https://osf.io/vnsqg/,https://osf.io/7uh8g/,,,,Distance-primed Ps reported higher levels of closeness toward one's family members and hometown compared to control condition Ps. ,ANOVA,main effect,"F(2, 81) = 4.97",prep = .95,84,125,,47,140,Keeping one's distance: The influence of spatial distance cues on affect and evaluation.
48,"Tamir, Mitchell et al. (2008) Study 1","F(2,162)(N=82) = 192.9","ηp²(N=88) = .74 [F(2,174) = 252.8]",Masicampo (2015),successful,hedonic anger regulation effect,Replicability Project,,,very close,,,,social,48,https://pdfs.semanticscholar.org/774a/37707de80f2a062f4833b8f01dc4257bd7ec.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/k4y9i/,https://osf.io/k4y9i/,https://osf.io/7i2tf/,,,,"When Ps anticipated playing confrontational games, Ps preferred anger-inducing activities more so than exciting and neutral activities. ",RM ANOVA,interaction,"F(2, 162) = 192.89",<.001,82,88,,48,142,Hedonic and instrumental motives in anger regulation.
49,"Epley, Akalis et al. (2008) Study 3",η²(N=57) = .12,η²(N=78) = .02,Sandstrom & Dunn (2015),unsuccessful,social disconnection boosts supernatural agent beliefs effect,Replicability Project,,,very close,,,,social,49,https://pdfs.semanticscholar.org/3be8/050244871a888256d769ab247639de174a72.pdf?_ga=2.239477829.756229126.1510337183-1264817730.1510337183,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/yuybh/,https://osf.io/yuybh/,https://osf.io/m5a2c/,,,,socially disconnected condition Ps reported stronger beliefs in supernatural agents and events (and attributed more social traits to pets) compared to control condition Ps. ,mixed ANOVA,interaction,"F(4, 108) = 3.67",0.01,57,78,,49,143,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds."
50,"Halevy, Bornstein et al. (2008) Study 1",η²(N=240) = .59,η²(N=120) = .426,"Thomae, Woo, & Immelman (2015)",successful,intergroup prisoners dilemma-maximizing difference effect,Replicability Project,,,very close,,,,social,50,https://pdfs.semanticscholar.org/7f74/6a26fc71e57ab3733b079ba005dcca25321a.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/76qc5/,https://osf.io/76qc5/,https://osf.io/sjwcd/,,,,Ps in an intergroup prisoners dilemma-maximizing difference (IPD-MD) game contributed fewer tokens than Ps in an intergroup prisoners dilemma (IPD) game. ,t-test,main effect,"F(1, 76) = 109.74",0,240,120,,50,145,ÏIn_Group Love? and ÏOut_Group Hate? as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm
51,Bressan & Stranieri (2008) Study 2,f(N=208) = .19,η²(N=263) = .001,Frazier & Hasselman (2015) Study 1,unsuccessful,ovulation boosts attraction to single men effect,Replicability Project,,,very close,,,,social,51,https://sci-hub.cc/http://www.jstor.org/stable/pdf/40064685.pdf?seq=1#page_scan_tab_contents,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/blcj6/,https://osf.io/blcj6/,https://osf.io/7vriw/,,,,"Attached women are more attracted to single men when they're ovulating (compared to not ovulating), but are more attracted to attached men when they're not ovulating (compared to ovulating). ",RM ANOVA,interaction,"F(1, 194) = 7.16",0.008,208,263,,51,148,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk
52,Bressan & Stranieri (2008) Study 2,f(N=208) = .19,η²(N=318) = 0.000,Frazier & Hasselman (2015) Study 2,unsuccessful,ovulation boosts attraction to single men effect,Replicability Project,,,very close,,,,social,52,https://sci-hub.cc/http://www.jstor.org/stable/pdf/40064685.pdf?seq=1#page_scan_tab_contents,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/blcj6/,https://osf.io/blcj6/,https://osf.io/7vriw/,,,,"Attached women are more attracted to single men when they're ovulating (compared to not ovulating), but are more attracted to attached men when they're not ovulating (compared to ovulating). ",RM ANOVA,interaction,"F(1, 194) = 7.16",0.008,208,318,,52,149,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk
53,"Schnall, Benton & Harvey (2008) Study 2",d(N=43) = -.85 ± .62,d(N=126) = +.02 ± .35,Cheung et al. (2015) Study 2,unsuccessful,cleanliness priming,Replicability Project,hand washing vs. control condition,moral wrongness (6 moral dilemmas),very close,US rather than UK undergraduates,α = .62 on private body consciousness (PBC) subscale,,social,53,https://core.ac.uk/download/pdf/1335179.pdf,http://datacolada.org/wp-content/uploads/2016/03/5341-Nosek-et-al-Science-2015-Estimating-the-reproducibility-of-psychological-science.pdf,https://osf.io/apidb/,https://osf.io/apidb/,https://osf.io/2dem3/,,,,"After experiencing disgust, Ps who washed their hands judged questionable behaviors as less morally wrong than Ps who did not wash their hands. ",between ANOVA,main effect,"F(1, 41) = 7.81",prep = .97,43,126,,53,151,With a clean conscience: Cleanliness reduces the severity of moral judgments.
