target.effect,orig.study.number,rep.study.number,orig.N,orig.ES.type,orig.ES,orig.ES.CI,rep.N,rep.ES.type,rep.ES,rep.ES.CI,rep.outcome,IVs,DVs,rep.type,rep.effort.type,rep.method.differences,rep.active.sample.evidence,other.outcomes,ES.description,EC.URL,orig.study.article.URL,orig.study.article.DOI,rep.study.article.URL,rep.pre.reg.URL,rep.open.materials.URL,rep.open.data.URL,orig.open.data.URL,orig.open.materials.URL,orig.pre.reg.URL,rep.population,discipline,orig.study.pub.year,reporting.standard.used,effect.description,design,statistical.effect.type,orig.test.statistic,orig.pvalue,rep.outcome.bayesian,orig.article.title,RPP.orig.untransformed.ES,RPP.rep.untransformed.ES,RPP.interpretation,RPP.study.number,study.order.CS,rep.num.in.set,social.priming,include.in.HTML.table,rep.num
sex difference in perceived sexual interest effect,"Farris, Treat et al. (2008) Study 1","Attwood, Easey, & Munafo (2015)",280,r,.55,.08,144,r,.09,.16,no signal - inconsistent (imprecise),,,very close,RPP #35,,,,,,https://pdfs.semanticscholar.org/7506/0955a43d0c40d1e10ffee2f66b23c4f912fe.pdf?_ga=2.160367867.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02092.x,https://osf.io/5u4km/,,https://osf.io/7dyp5/,https://osf.io/7dyp5/,,,,,social,2008,,Male Ps exhibited less sensitivity in distinguishing friendliness versus sexual interest compared to women (supporting a male perceptual insensitivity account).,general linear model,interaction,"F(1, 278) = 123.38",<.001,,Perceptual mechanisms that characterize gender differences in decoding women's sexual intent,η²(N=280) = .326,η²(N=144) = .008,unsuccessful,110,35,35,,yes,35
prescribed optimism effect,"Armor, Massey et al. (2008) Study 1","Lassetter, Brandt et al. (2015)",126,r,.68,.10,177,r,.76,.06,"signal - inconsistent, larger",,,very close,RPP #36,,,,,,https://pdfs.semanticscholar.org/ebcb/12ed8b27bfe3588e8f9b994f4acc914f050e.pdf?_ga=2.160367867.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02089.x,https://osf.io/8u5v2/,,https://osf.io/qlzap/,https://osf.io/qlzap/,,,,,social,2008,,"Among accurate, optimistic, or pessimistic predictions, Ps most likely to recommend optimistic predictions. ",single sample t-test,main effect,t(124) =10.36,prep > .99,,Prescribed optimism: Is it right to be wrong about the future?,d(N=125) = +.93,d(N=177) = +1.18,successful,113,36,36,,yes,36
age-related episodic memory effect,"Addis, Wong et al. (2008) Study 1",Vasquez (2015),32,r,.57,.26,32,r,.65,.22,signal - consistent,,,very close,RPP #37,,,,,,http://scholar.harvard.edu/files/schacterlab/files/addiswongschacter2008.pdf,10.1111/j.1467-9280.2008.02043.x,https://osf.io/9ayxi/,,https://osf.io/yaeu7/,https://osf.io/yaeu7/,,,,,social,2008,,"Older adults produced fewer internal details, but more external details compared to young adults. ",RM ANOVA,main effect,"F(1,30) = 14.49",prep = .99,,Age-related changes in the episodic simulation of future events,η²(N=32)= .326,η²(N=32) = .426,successful,114,37,37,,yes,37
ego depletion boosts attraction effect,Masicampo & Baumeister (2008) Study 1,"Osborne, Vuu, & Henninger (2015)",115,r,.21,.18,166,r,-.05,.16,no signal - inconsistent,,,very close,RPP #38,,,,,,https://pdfs.semanticscholar.org/2820/47d5641dcba11516a64d6f082154c0ab79a9.pdf?_ga=2.228131675.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02077.x,https://osf.io/897ew/,,https://osf.io/3h29d/,https://osf.io/3h29d/,,,,,social,2008,,"Ps in depletion/placebo group exhibited larger attraction effect compared to Ps in other three conditions (depletion with sugar, no depletion with sugar, no depletion with placebo). ",ANOVA,focused interaction contrast,"F(1, 111) = 5.311",prep = .92,,"Toward a physiology of dual-process reasoning and judgment: lemonade, willpower, and expensive rule-based analysis.",η²(N=115) = .045,η²(N=166) = .002,unsuccessful,118,38,38,,yes,38
aversive errors effect,Hajcak & Foti (2008) Study 1,Lewis & Pitts (2015),31,r,-.38,.32,43,r,-.25,.29,no signal - consistent,,,very close,RPP #39,,,,,,https://pdfs.semanticscholar.org/4909/934881166b7b8e4c35c6f059bf2cf3952dcb.pdf,10.1111/j.1467-9280.2008.02053.x,https://osf.io/82bwv/,,https://osf.io/73pnd/,https://osf.io/73pnd/,,,,,social,2008,,Startle response magnitude following an error negatively correlated to Error-Related Negativity (ERN) amplitude.,zero-order correlation,correlation,r = -.38,<.05,,Errors Are Aversive: Defensive Motivation and the Error-Related Negativity,r(N=31) = -.38,r(N=43) = -.25,unsuccessful,120,39,39,,yes,39
sunny side of fairness effect,"Tabibnia, Satpute et al. (2008) Study 2","Beer, Rigney, & Flagan (2015)",12,r,.85,.24,24,r,.83,.15,signal - consistent,,,very close,RPP #40,,,,,,https://pdfs.semanticscholar.org/2275/5d2aeb2f4f1216ffa0f829e4cf31141c79f9.pdf?_ga=2.228131675.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02091.x,https://osf.io/nxp9w/,,https://osf.io/94j6h/,https://osf.io/94j6h/,,,,,social,2008,,Accepting unfair offers increased activation in right ventrolateral prefrontal cortex compared to baseline,dependent samples t-test,main effect,t(11) = 5.39,prep = .99,,The sunny side of fairness: Preference for fairness activates reward circuitry (and disregarding unfairness activates self-control circuitry),d(N=12) = +3.25,d(N=24) = +2.22,successful,121,40,40,,yes,40
loving woman who justify inequality effect,"Lau, Kay & Spencer (2008) Study 1",Stieger (2015),36,r,.38,.30,70,r,-.03,.24,no signal - inconsistent,,,very close,RPP #41,,,,,,https://u.osu.edu/spencerlab/files/2017/02/j2E1467-92802E20082E020402Ex-ov88xp.pdf,10.1111/j.1467-9280.2008.02040.x,https://osf.io/42hgf/,,https://osf.io/fxqsk/,https://osf.io/fxqsk/,,,,,social,2008,,Male Ps whose faith in economic system was threatened reported greater romantic interest in women who embody (versus did not embody) benevolent sexist ideals,ANOVA,interaction,"F(1, 34) = 5.89",prep = .93,,Loving those who justify inequality: the effects of system threat on attraction to women who embody benevolent sexist ideals.,η²(N=36) = .147,η²(N=70) = .001,unsuccessful,124,41,41,,yes,41
threat of appearing prejudiced attentional bias effect,Richeson & Trawalter (2008) Study 1,Lai (2015),28,r,.37,.34,66,r,.02,.24,no signal - inconsistent,,,very close,RPP #42,,,,,,https://pdfs.semanticscholar.org/8d43/78b38e48bbfaa4ea06765f14709abb5ac39b.pdf?_ga=2.198763753.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02052.x,https://osf.io/phwi4/,,https://osf.io/c5fza/,https://osf.io/c5fza/,,,,,social,2008,,"Ps with high ""external motivation"" (EM) to be non-prejudiced exhibited attentional biases for neutral, but not happy Black faces. ",mixed ANOVA,interaction,"F(1, 26) = 4.17",prep = .92,,The threat of appearing prejudiced and race-based attentional biases.,d(N=28) = +.80,η²(N=66) = .00,unsuccessful,129,42,42,,yes,42
offensive behavior looking effect,"Crosby, Monin et al. (2008) Study 1",Skorinko & Jonas (2015),25,r,.25,.40,30,r,.18,.36,no signal - consistent,,,very close,RPP #43,,,,,,https://pdfs.semanticscholar.org/5458/e25a697d427d5647dda42fa4989188894d2f.pdf?_ga=2.198763753.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02072.x,https://osf.io/nkaw4/,,https://osf.io/b98zw/,https://osf.io/b98zw/,,,,,social,2008,,"When White man made potentially offensive comment in presence of Black man, Ps who could hear interaction looked at Black man for a longer compared to when Ps couldnt hear interaction. ",mixed ANOVA,interaction,"F(3, 69) = 5.15",<.005,,Where do we look during potentially offensive behavior?,η²(N=25) = .18,η²(N=30) = .048,unsuccessful,132,43,43,,yes,43
having what you want happiness effect,Larsen & McKibban (2008) Study 2,"Seibel, Vermue et al. (2015)",119,r,.21,.18,238,r,.50,.09,"signal - inconsistent, larger",,,very close,RPP #44,,,,,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1027.2039&rep=rep1&type=pdf,10.1111/j.1467-9280.2008.02095.x,https://osf.io/h4cbg/,,https://osf.io/5dx4v/,https://osf.io/5dx4v/,,,,,social,2008,,"People who had what they wanted were happier than others, even after controlling for the degree to which they wanted what they had. ",Partial correlation,correlation,pr = .21,prep = .92,,"Is happiness having what you want, wanting what you have, or both?",pr(N=119) = +.21,pr(N=238) = +.497,successful,134,44,44,,yes,44
implicit attitude generalization occurs immediately effect,Ranganath & Nosek (2008) Study 1,Cohn (2015),684,r,.00,.08,3597,r,.11,.04,"signal - inconsistent, larger",,,very close,RPP #45,,,,,,https://pdfs.semanticscholar.org/9259/4542085ad219d5a5c611c16a8cd62c06785d.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02076.x,https://osf.io/9xt25/,,https://osf.io/2gkjt/,https://osf.io/2gkjt/,,,,,social,2008,,Information about original individuals automatically influenced Ps' implicit responses toward new individuals from same social category.,t-test,main effect,t(562) = -0.11,prep = .18,,Implicit attitude generalization occurs immediately; explicit attitude generalization takes time,d(N=564) = -.004,d(N=3597) = +.21,unsuccessful,135,45,45,,yes,45
anti-free-will boosts cheating effect,Vohs & Schooler (2008) Study 1,"Giner-Sorolla, Embley et al. (2015)",30,r,.50,.30,58,r,.10,.26,no signal - inconsistent,,,very close,RPP #46,,,,,,https://pdfs.semanticscholar.org/a20c/fba85021eabd83780f3042636e8a3de8e58a.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02045.x,https://osf.io/2nf3u/,,https://osf.io/i29mh/,https://osf.io/i29mh/,,,,,social,2008,,Ps who read anti-free-will essay cheated more often that Ps who read a control essay.,independent samples t-test,main effect,t(28) = 3.04,<.01,,The value of believing in free will: Encouraging a belief in determinism increases cheating.,d(N=30) = +.88,d(N=58) = +.20,unsuccessful,136,46,46,,yes,46
distance priming boosts psychological closeness effect,Williams & Bargh (2008) Study 4,"Joy-Gaba, Clay, & Cleary (2015)",84,r,.23,.20,125,r,.04,.18,no signal - inconsistent,,,very close,RPP #47,,,,,,https://pdfs.semanticscholar.org/e63b/2302efaa97ed0909dd5a42221e6b6524a28d.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02084.x,https://osf.io/7uh8g/,,https://osf.io/vnsqg/,https://osf.io/vnsqg/,,,,,social,2008,,Distance-primed Ps reported higher levels of closeness toward one's family members and hometown compared to control condition Ps.,ANOVA,main effect,"F(2, 81) = 4.97",prep = .95,,Keeping one's distance: The influence of spatial distance cues on affect and evaluation.,η²(N=84) = .11,η²(N=125) = .03,unsuccessful,140,47,47,,yes,47
hedonic anger regulation effect,"Tamir, Mitchell et al. (2008) Study 1",Masicampo (2015),82,r,.59,.14,88,r,.61,.13,signal - consistent,,,very close,RPP #48,,,,,,https://pdfs.semanticscholar.org/774a/37707de80f2a062f4833b8f01dc4257bd7ec.pdf?_ga=2.167774311.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02088.x,https://osf.io/7i2tf/,,https://osf.io/k4y9i/,https://osf.io/k4y9i/,,,,,social,2008,,"When Ps anticipated playing confrontational games, Ps preferred anger-inducing activities more so than exciting and neutral activities. ",RM ANOVA,interaction,"F(2, 162) = 192.89",<.001,,Hedonic and instrumental motives in anger regulation.,"F(2,162)(N=82) = 192.9","ηp²(N=88) = .74 [F(2,174) = 252.8]",successful,142,48,48,,yes,48
social disconnection boosts supernatural agent beliefs effect,"Epley, Akalis et al. (2008) Study 3",Sandstrom & Dunn (2015),57,r,.17,.26,78,r,.06,.23,no signal - consistent,,,very close,RPP #49,,,,,,https://pdfs.semanticscholar.org/3be8/050244871a888256d769ab247639de174a72.pdf?_ga=2.239477829.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02056.x,https://osf.io/m5a2c/,,https://osf.io/yuybh/,https://osf.io/yuybh/,,,,,social,2008,,socially disconnected condition Ps reported stronger beliefs in supernatural agents and events (and attributed more social traits to pets) compared to control condition Ps.,mixed ANOVA,interaction,"F(4, 108) = 3.67",0.01,,"Creating social connection through inferential reproduction: Loneliness and perceived agency in gadgets, gods, and greyhounds.",η²(N=57) = .12,η²(N=78) = .02,unsuccessful,143,49,49,,yes,49
intergroup prisoners dilemma-maximizing difference effect,"Halevy, Bornstein et al. (2008) Study 1","Thomae, Woo, & Immelman (2015)",80,r,.77,.09,40,r,.65,.20,signal - consistent (imprecise),,,very close,RPP #50,,,,,,https://pdfs.semanticscholar.org/7f74/6a26fc71e57ab3733b079ba005dcca25321a.pdf,10.1111/j.1467-9280.2008.02100.x,https://osf.io/sjwcd/,,https://osf.io/76qc5/,https://osf.io/76qc5/,,,,,social,2008,,Ps in an intergroup prisoners dilemma-maximizing difference (IPD-MD) game contributed fewer tokens than Ps in an intergroup prisoners dilemma (IPD) game.,t-test,main effect,"F(1, 76) = 109.74",0,,ÏIn_Group Love? and ÏOut_Group Hate? as Motives for Individual Participation in Intergroup Conflict: A New Game Paradigm,η²(N=240) = .59,η²(N=120) = .426,successful,145,50,50,,yes,50
ovulation boosts attraction to single men effect,Bressan & Stranieri (2008) Study 2,Frazier & Hasselman (2015) Study 1,208,r,.19,.14,263,r,-.03,.12,no signal - inconsistent,,,very close,RPP #51,,,,,,https://sci-hub.tw/http://www.jstor.org/stable/pdf/40064685.pdf?seq=1#page_scan_tab_contents,10.1111/j.1467-9280.2008.02060.x,https://osf.io/7vriw/,,https://osf.io/blcj6/,https://osf.io/blcj6/,,,,,social,2008,,"Attached women are more attracted to single men when they're ovulating (compared to not ovulating), but are more attracted to attached men when they're not ovulating (compared to ovulating). ",RM ANOVA,interaction,"F(1, 194) = 7.16",0.008,,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk,f(N=208) = .19,η²(N=263) = .001,unsuccessful,148,51,51,,yes,51
ovulation boosts attraction to single men effect,Bressan & Stranieri (2008) Study 2,Frazier & Hasselman (2015) Study 2,208,r,.19,.14,318,r,.02,.11,no signal - inconsistent,,,very close,RPP #52,,,,,,https://sci-hub.tw/http://www.jstor.org/stable/pdf/40064685.pdf?seq=1#page_scan_tab_contents,10.1111/j.1467-9280.2008.02060.x,https://osf.io/7vriw/,,https://osf.io/blcj6/,https://osf.io/blcj6/,,,,,social,2008,,"Attached women are more attracted to single men when they're ovulating (compared to not ovulating), but are more attracted to attached men when they're not ovulating (compared to ovulating). ",RM ANOVA,interaction,"F(1, 194) = 7.16",0.008,,The Best Men Are (Not Always) Already Taken: Female Preference for Single Versus Attached Males Depends on Conception Risk,f(N=208) = .19,η²(N=318) = 0.000,unsuccessful,149,52,52,,yes,52
cleanliness priming,"Schnall, Benton & Harvey (2008) Study 2",Cheung et al. (2015) Study 2,43,r,-.40,.26,126,r,.00,.18,no signal - inconsistent,hand washing vs. control condition,moral wrongness (6 moral dilemmas),very close,RPP #53,US rather than UK undergraduates,α = .62 on private body consciousness (PBC) subscale,,,collections/cleanliness-priming.html,https://core.ac.uk/download/pdf/1335179.pdf,10.1111/j.1467-9280.2008.02227.x,https://osf.io/2dem3/,,https://osf.io/apidb/,https://osf.io/apidb/,,,,,social,2008,,"After experiencing disgust, Ps who washed their hands judged questionable behaviors as less morally wrong than Ps who did not wash their hands. ",between ANOVA,main effect,"F(1, 41) = 7.81",prep = .97,,With a clean conscience: Cleanliness reduces the severity of moral judgments.,d(N=43) = -.85 ± .62,d(N=126) = +.02 ± .35,unsuccessful,151,53,53,yes,yes,53
conscientiousness validity correlation,"Heine, Buchtel et al. (2008) Study 1",Lazarevic & Knezevic (2015),70,r,-.43,.20,16,r,-.11,.53,no signal - consistent (imprecise),,,very close,RPP #54,,,,,,http://www2.psych.ubc.ca/~heine/docs/2008Mccrae-rejoinder.pdf,10.1111/j.1467-9280.2008.02085.x,https://osf.io/g4hn3/,,https://osf.io/siaqe/,https://osf.io/siaqe/,,,,,social,2008,,Perceptions of National Characters (PNC) measure negatively correlated with behavioural and demographic measures of conscientiousness (validity criteria).,correlation,correlation,r = -0.43,X,,What Do Cross_National Comparisons of Personality Traits Tell Us? The Case of Conscientiousness,r(N=70) = -.43,r(N=16) = -.11,successful,154,54,54,,yes,54
social dominance verticality embodiment effect,"Moeller, Robinson et al. (2008) Study 2",Levitan & Fernandez-Castilla (2015),53,r,-.31,.25,72,r,.03,.24,no signal - inconsistent,,,very close,RPP #55,,,,,,https://sci-hub.tw/http://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2008.02093.x,10.1111/j.1467-9280.2008.02093.x,https://osf.io/7dybc/,,https://osf.io/tg2wd/,https://osf.io/tg2wd/,,,,,social,2008,,"Ps scoring high in dominance exhibited faster RTs to vertical compare to horizontal stimuli, unlike Ps scoring low in dominance ",correlation,correlation,r = -.31,<.05,,Personality dominance and preferential use of the vertical dimension of space,r(N=53) = -.31,r(N=72) = +.034,unsuccessful,155,55,55,yes,yes,55
conflict-triggered goal shielding effect,Goschke & Dreisbach (2008) Study 1,Costantini & Perugini (2015),40,r,.37,.28,95,r,.41,.17,signal - consistent,,,very close,RPP #56,,,,,,http://www.uni-regensburg.de/psychologie-paedagogik-sport/psychologie-dreisbach/medien/goschkedreisbachpssc08.pdf,10.1111/j.1467-9280.2008.02042.x,https://osf.io/pnius/,,https://osf.io/bk53t/,https://osf.io/bk53t/,,,,,social,2008,,Interaction between Perspective Memory (PM) cue dimension and compatibility on mean proportion of errors (missed PM cues).,ANOVA,interaction,"F(1, 38) = 6.21",prep = .927,,Conflict-triggered goal shielding: Response conflicts attenuate background monitoring for prospective memory cues.,η²(N=40) = .14,η²(N=95) = .17,successful,158,56,56,,yes,56
relative frequency value heuristic effect,"Dai, Wertenbroch et al. (2008) Study 1","Fuchs, Estel, & Goellner (2015)",56,r,.28,.24,51,r,-.18,.28,no signal - inconsistent (imprecise),,,very close,RPP #57,,,,,,https://pdfs.semanticscholar.org/b84f/8d58d35b9df66ef16e5c65405ecac636a32c.pdf?_ga=2.197521257.756229126.1510337183-1264817730.1510337183,10.1111/j.1467-9280.2008.02039.x,https://osf.io/js7gd/,,https://osf.io/q7f6w/,https://osf.io/q7f6w/,,,,,social,2008,,Ps underestimated number of pictures belonging to category for which they expected to be paid compared to control pictures in non-endowed category.,Pearson's Chi-squared test,main effect,"X^2(1, N=56) = 4.51",0.037,,The value heuristic in judgments of relative frequency.,w(N=56) = .339,w(N=51) = .19,unsuccessful,165,57,57,,yes,57
